company,year,invest,mvalue,kstock,time
1,1935-01-01,317.6,3078.5,2.8,1
1,1936-01-01,391.8,4661.7,52.6,2
1,1937-01-01,410.6,5387.1,156.9,3
1,1938-01-01,257.7,2792.2,209.2,4
1,1939-01-01,330.8,4313.2,203.4,5
1,1940-01-01,461.2,4643.9,207.2,6
1,1941-01-01,512.0,4551.2,255.2,7
1,1942-01-01,448.0,3244.1,303.7,8
1,1943-01-01,499.6,4053.7,264.1,9
1,1944-01-01,547.5,4379.3,201.6,10
1,1945-01-01,561.2,4840.9,265.0,11
1,1946-01-01,688.1,4900.9,402.2,12
1,1947-01-01,568.9,3526.5,761.5,13
1,1948-01-01,529.2,3254.7,922.4,14
1,1949-01-01,555.1,3700.2,1020.1,15
1,1950-01-01,642.9,3755.6,1099.0,16
1,1951-01-01,755.9,4833.0,1207.7,17
1,1952-01-01,891.2,4924.9,1430.5,18
1,1953-01-01,1304.4,6241.7,1777.3,19
1,1954-01-01,1486.7,5593.6,2226.3,20
2,1935-01-01,209.9,1362.4,53.8,1
2,1936-01-01,355.3,1807.1,50.5,2
2,1937-01-01,469.9,2676.3,118.1,3
2,1938-01-01,262.3,1801.9,260.2,4
2,1939-01-01,230.4,1957.3,312.7,5
2,1940-01-01,361.6,2202.9,254.2,6
2,1941-01-01,472.8,2380.5,261.4,7
2,1942-01-01,445.6,2168.6,298.7,8
2,1943-01-01,361.6,1985.1,301.8,9
2,1944-01-01,288.2,1813.9,279.1,10
2,1945-01-01,258.7,1850.2,213.8,11
2,1946-01-01,420.3,2067.7,132.6,12
2,1947-01-01,420.5,1796.7,264.8,13
2,1948-01-01,494.5,1625.8,306.9,14
2,1949-01-01,405.1,1667.0,351.1,15
2,1950-01-01,418.8,1677.4,357.8,16
2,1951-01-01,588.2,2289.5,342.1,17
2,1952-01-01,645.5,2159.4,444.2,18
2,1953-01-01,641.0,2031.3,623.6,19
2,1954-01-01,459.3,2115.5,669.7,20
3,1935-01-01,33.1,1170.6,97.8,1
3,1936-01-01,45.0,2015.8,104.4,2
3,1937-01-01,77.2,2803.3,118.0,3
3,1938-01-01,44.6,2039.7,156.2,4
3,1939-01-01,48.1,2256.2,172.6,5
3,1940-01-01,74.4,2132.2,186.6,6
3,1941-01-01,113.0,1834.1,220.9,7
3,1942-01-01,91.9,1588.0,287.8,8
3,1943-01-01,61.3,1749.4,319.9,9
3,1944-01-01,56.8,1687.2,321.3,10
3,1945-01-01,93.6,2007.7,319.6,11
3,1946-01-01,159.9,2208.3,346.0,12
3,1947-01-01,147.2,1656.7,456.4,13
3,1948-01-01,146.3,1604.4,543.4,14
3,1949-01-01,98.3,1431.8,618.3,15
3,1950-01-01,93.5,1610.5,647.4,16
3,1951-01-01,135.2,1819.4,671.3,17
3,1952-01-01,157.3,2079.7,726.1,18
3,1953-01-01,179.5,2371.6,800.3,19
3,1954-01-01,189.6,2759.9,888.9,20
4,1935-01-01,40.29,417.5,10.5,1
4,1936-01-01,72.76,837.8,10.2,2
4,1937-01-01,66.26,883.9,34.7,3
4,1938-01-01,51.6,437.9,51.8,4
4,1939-01-01,52.41,679.7,64.3,5
4,1940-01-01,69.41,727.8,67.1,6
4,1941-01-01,68.35,643.6,75.2,7
4,1942-01-01,46.8,410.9,71.4,8
4,1943-01-01,47.4,588.4,67.1,9
4,1944-01-01,59.57,698.4,60.5,10
4,1945-01-01,88.78,846.4,54.6,11
4,1946-01-01,74.12,893.8,84.8,12
4,1947-01-01,62.68,579.0,96.8,13
4,1948-01-01,89.36,694.6,110.2,14
4,1949-01-01,78.98,590.3,147.4,15
4,1950-01-01,100.66,693.5,163.2,16
4,1951-01-01,160.62,809.0,203.5,17
4,1952-01-01,145.0,727.0,290.6,18
4,1953-01-01,174.93,1001.5,346.1,19
4,1954-01-01,172.49,703.2,414.9,20
5,1935-01-01,39.68,157.7,183.2,1
5,1936-01-01,50.73,167.9,204.0,2
5,1937-01-01,74.24,192.9,236.0,3
5,1938-01-01,53.51,156.7,291.7,4
5,1939-01-01,42.65,191.4,323.1,5
5,1940-01-01,46.48,185.5,344.0,6
5,1941-01-01,61.4,199.6,367.7,7
5,1942-01-01,39.67,189.5,407.2,8
5,1943-01-01,62.24,151.2,426.6,9
5,1944-01-01,52.32,187.7,470.0,10
5,1945-01-01,63.21,214.7,499.2,11
5,1946-01-01,59.37,232.9,534.6,12
5,1947-01-01,58.02,249.0,566.6,13
5,1948-01-01,70.34,224.5,595.3,14
5,1949-01-01,67.42,237.3,631.4,15
5,1950-01-01,55.74,240.1,662.3,16
5,1951-01-01,80.3,327.3,683.9,17
5,1952-01-01,85.4,359.4,729.3,18
5,1953-01-01,91.9,398.4,774.3,19
5,1954-01-01,81.43,365.7,804.9,20
6,1935-01-01,20.36,197.0,6.5,1
6,1936-01-01,25.98,210.3,15.8,2
6,1937-01-01,25.94,223.1,27.7,3
6,1938-01-01,27.53,216.7,39.2,4
6,1939-01-01,24.6,286.4,48.6,5
6,1940-01-01,28.54,298.0,52.5,6
6,1941-01-01,43.41,276.9,61.5,7
6,1942-01-01,42.81,272.6,80.5,8
6,1943-01-01,27.84,287.4,94.4,9
6,1944-01-01,32.6,330.3,92.6,10
6,1945-01-01,39.03,324.4,92.3,11
6,1946-01-01,50.17,401.9,94.2,12
6,1947-01-01,51.85,407.4,111.4,13
6,1948-01-01,64.03,409.2,127.4,14
6,1949-01-01,68.16,482.2,149.3,15
6,1950-01-01,77.34,673.8,164.4,16
6,1951-01-01,95.3,676.9,177.2,17
6,1952-01-01,99.49,702.0,200.0,18
6,1953-01-01,127.52,793.5,211.5,19
